"SPPCODE","lon","lat","bioclim_01","bioclim_04","bioclim_05","bioclim_06","bioclim_12","bioclim_15","bioclim_16","bioclim_17"
"Acrobates_pygmaeus",148.18,-33.13,16.4,6,32,2.8,602,0.112198981600399,159,136
"Acrobates_pygmaeus",153.18,-29.48,19.3,3.8,28.7,7.3,1217,0.454689543304114,453,128
"Acrobates_pygmaeus",151.1,-33.67,17.4,4,27.7,6.1,1092,0.292498862958606,377,176
"Acrobates_pygmaeus",150.74,-32.63,15.5,4.8,28.4,3,805,0.27920182847728,278,138
"Acrobates_pygmaeus",151.2,-32.17,14.6,4.7,27.3,2.6,1030,0.214584338298235,331,198
"Acrobates_pygmaeus",149.25,-33.77,12.3,5.4,27.8,-0.2,852,0.201821483188404,265,161
"Acrobates_pygmaeus",152.54,-32.08,18.2,3.7,27.4,7.3,1201,0.359378654899479,428,177
"Acrobates_pygmaeus",151.38,-33.25,17.8,3.9,27.4,6.8,1186,0.332485512300129,425,183
"Acrobates_pygmaeus",151.35,-33.18,17.7,4,27.7,6.4,1106,0.342945278471039,404,168
"Acrobates_pygmaeus",151.49,-32.96,17.3,4.1,27.6,6,1013,0.332937846563479,365,153
"Acrobates_pygmaeus",150.85,-34.04,17.1,4.2,28,5.1,841,0.256044885062834,279,141
"Acrobates_pygmaeus",151.35,-33.38,17.6,3.8,27.2,6.6,1251,0.310793492439559,435,199
"Acrobates_pygmaeus",150.91,-33.58,17.7,4.4,29.3,4.9,876,0.328737251643402,321,137
"Acrobates_pygmaeus",150.16,-30.52,18.2,5.8,33.3,3.1,635,0.314882435608682,224,120
"Acrobates_pygmaeus",148.99,-32.62,16.7,5.8,32.1,2.6,625,0.141777459583906,179,136
"Acrobates_pygmaeus",151.49,-33.18,18,3.7,26.9,7.4,1169,0.305939779571628,402,190
"Acrobates_pygmaeus",151.38,-33.48,17.8,3.7,26.9,7.2,1302,0.288935861147816,434,217
"Acrobates_pygmaeus",149.99,-33.35,12.5,5,26.4,0.3,745,0.158006105525473,212,145
"Acrobates_pygmaeus",148.99,-32.65,16.5,5.8,31.9,2.4,637,0.139048671088127,181,138
"Acrobates_pygmaeus",150.88,-33.43,17.6,4.5,29.5,4.6,870,0.338322704409693,322,137
"Acrobates_pygmaeus",151.34,-33.42,17.6,3.8,27.2,6.6,1267,0.302373950768707,435,204
"Acrobates_pygmaeus",151.15,-33.37,17,4.1,27.6,5.7,1090,0.323443598110058,395,170
"Acrobates_pygmaeus",151.22,-33.88,17.9,3.7,26.7,7.6,1178,0.234320075904688,374,223
"Acrobates_pygmaeus",152.46,-28.31,16.9,4.5,28.8,3.5,951,0.426288189360937,361,113
"Acrobates_pygmaeus",149.15,-33.62,13.2,5.5,29,0.3,833,0.190711167084554,256,161
"Acrobates_pygmaeus",150.54,-33.5,14.7,4.6,26.9,2.5,1173,0.403036261059384,465,168
"Acrobates_pygmaeus",150.63,-32.26,17.5,5.2,31.5,3.4,605,0.302555003867012,212,103
"Acrobates_pygmaeus",149.28,-31.27,16.8,5.7,31.9,2.8,744,0.263212754655157,247,151
"Acrobates_pygmaeus",153.45,-28.37,19.4,3.5,28.2,8.6,1839,0.472332374382629,714,188
"Acrobates_pygmaeus",151.16,-33.78,17.7,3.9,27.2,6.8,1162,0.26670835325788,382,199
"Acrobates_pygmaeus",149.85,-36.68,15.4,4,26.1,3,807,0.248098033497863,250,145
"Acrobates_pygmaeus",151.45,-33.37,17.9,3.6,26.6,7.6,1285,0.297633433251526,433,213
"Acrobates_pygmaeus",149.95,-30.6,18.7,5.8,33.7,3.7,613,0.317876658119795,214,114
"Acrobates_pygmaeus",150.08,-34.72,13.4,4.8,26.7,1.3,749,0.177802068202356,232,153
"Acrobates_pygmaeus",150.45,-34.45,13.5,4.5,25.6,2,917,0.201499787641,285,172
"Acrobates_pygmaeus",115.9,-31.35,18.3,4.6,32.6,7.3,635,0.825967485617846,339,37
"Acrobates_pygmaeus",148.99,-33.35,11.4,5.3,25.4,0.5,980,0.179668256883889,299,190
"Acrobates_pygmaeus",150.12,-32.42,16.5,5.4,30.8,2.2,635,0.231072258857853,204,124
"Acrobates_pygmaeus",151.26,-33.8,18,3.7,26.7,7.8,1230,0.24484174935045,393,226
"Acrobates_pygmaeus",150.45,-35.2,16.3,3.5,25.2,6.7,1148,0.210736206985223,344,211
"Acrobates_pygmaeus",146.26,-35.33,16.6,5.9,33.2,3.2,424,0.181078473148874,124,79
"Acrobates_pygmaeus",145.38,-17.38,20.1,3,29,10.1,1208,0.85321134890098,680,69
"Acrobates_pygmaeus",150.58,-34.35,14.7,4.4,26.2,3,945,0.248475317609688,307,160
"Acrobates_pygmaeus",150.54,-34.37,14.7,4.4,26.5,2.9,897,0.241437226476142,289,155
"Acrobates_pygmaeus",151.1,-29.32,17.4,5.5,31.6,1.8,741,0.388841626745618,280,115
"Acrobates_pygmaeus",152.74,-31.47,18.1,3.8,28,6.6,1288,0.42177567007501,475,141
"Acrobates_pygmaeus",151.5,-30.63,13.2,5,26.8,0.3,783,0.342524970912643,287,139
"Acrobates_pygmaeus",150.1,-35.92,15.7,3.6,24.8,4.3,955,0.233258355753783,291,159
"Acrobates_pygmaeus",149.13,-33.62,13.4,5.5,29.2,0.4,835,0.192651985001491,257,161
"Acrobates_pygmaeus",148.15,-35.53,12.2,5.4,27.5,0.2,1115,0.333628941781792,396,168
"Acrobates_pygmaeus",151.44,-30.13,13.4,4.9,26.5,0.5,876,0.32215991376731,315,154
"Acrobates_pygmaeus",151.55,-32.73,18.1,4.4,29.8,5.7,862,0.354616213438302,317,124
"Acrobates_pygmaeus",150.26,-31.12,18.1,5.7,32.7,3.8,645,0.317504299600183,230,122
"Acrobates_pygmaeus",146.4,-30.67,19.8,6.3,35.4,4.5,405,0.268056177708575,128,74
"Acrobates_pygmaeus",151.04,-31.22,16.3,5.5,31,1.9,729,0.289782422054595,256,133
"Acrobates_pygmaeus",151.66,-30.52,13.5,4.9,26.7,0.6,743,0.385245215078845,283,118
"Acrobates_pygmaeus",151.18,-33.83,17.8,3.8,27,7.1,1168,0.251234089754001,377,209
"Acrobates_pygmaeus",150.25,-30.98,18.3,5.7,32.9,3.9,628,0.316632668570334,223,117
"Acrobates_pygmaeus",150.13,-30.48,18.4,5.8,33.5,3.2,637,0.314314984232096,223,121
"Acrobates_pygmaeus",148.91,-21.38,22,3.8,30.9,10.6,1274,0.773047441101901,661,82
"Acrobates_pygmaeus",142,-26,23.6,6.5,38.7,7,242,0.588966004381855,109,28
"Acrobates_pygmaeus",146.54,-36.3,14.3,5.4,30.2,2.2,726,0.277815079191861,240,118
"Acrobates_pygmaeus",140.86,-37.1,14.4,3.9,28.6,4.8,569,0.466703802304799,229,65
"Acrobates_pygmaeus",140.82,-37.22,14.4,3.8,28.3,4.9,581,0.472038892097309,236,66
"Acrobates_pygmaeus",140.76,-36.3,15,4.2,29.3,4.8,451,0.464234031046536,176,50
"Acrobates_pygmaeus",140.84,-37.38,14.2,3.7,27.6,4.8,628,0.477084106260517,256,72
"Acrobates_pygmaeus",141.26,-37.27,14.2,4,28.2,4.3,619,0.460461781861283,246,72
"Acrobates_pygmaeus",140.78,-37.83,13.8,3.2,24.9,5.3,736,0.484496339192646,308,85
"Acrobates_pygmaeus",141.2,-37.08,14.4,4.2,28.7,4.2,580,0.460953226064902,231,67
"Acrobates_pygmaeus",149.15,-36.33,11.2,5,25.8,-2.1,498,0.268736426626282,167,89
"Acrobates_pygmaeus",140.96,-34.02,17.4,5.1,32.3,5,260,0.281092049844575,85,42
"Acrobates_pygmaeus",149.18,-21.15,22.9,3.6,30.7,12.2,1537,0.765071882752395,794,87
"Acrobates_pygmaeus",140.81,-34.07,17.5,5.1,32.5,4.9,252,0.289217400011565,83,41
"Acrobates_pygmaeus",149.02,-31.31,16.5,5.8,31.7,2.6,759,0.232774723914248,241,164
"Acrobates_pygmaeus",152.91,-31.16,18.3,3.7,27.7,7,1320,0.411709326306146,482,152
"Acrobates_pygmaeus",153.04,-29.36,18.8,4.2,29.4,5.1,1128,0.482514402415777,440,109
"Acrobates_pygmaeus",149.24,-31.19,16.9,5.8,32.1,2.7,760,0.252551200217203,248,158
"Acrobates_pygmaeus",150.16,-30.6,18.2,5.8,33.1,3.2,627,0.313826770654036,221,118
"Acrobates_pygmaeus",150.26,-35.66,15.9,3.5,25,5.2,1074,0.216843854925917,320,186
"Acrobates_pygmaeus",149.23,-31.2,16.9,5.8,32,2.7,762,0.252982859847862,249,159
"Acrobates_pygmaeus",150.91,-29.53,16,5.4,30.3,1.1,780,0.354098593295207,288,131
"Acrobates_pygmaeus",151.35,-31.27,12.8,5.1,26.5,-0.3,964,0.245151370491182,317,174
